run_label,round,n_run,t_run,flywire_id,reference_backend,comparison_backend,reference_framework,comparison_framework,reference_rate_hz,comparison_rate_hz
nature_2026_05,1,1,0.1,720575940621777390,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,10.0
nature_2026_05,1,1,0.1,720575940622116705,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),80.0,70.0
nature_2026_05,1,1,0.1,720575940622235425,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),60.0,50.0
nature_2026_05,1,1,0.1,720575940622348156,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940622624214,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940622695448,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),150.0,140.0
nature_2026_05,1,1,0.1,720575940622810153,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,30.0
nature_2026_05,1,1,0.1,720575940623137818,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),0.0,10.0
nature_2026_05,1,1,0.1,720575940623192781,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940623209165,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,20.0
nature_2026_05,1,1,0.1,720575940623210445,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),80.0,70.0
nature_2026_05,1,1,0.1,720575940623211725,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),70.0,60.0
nature_2026_05,1,1,0.1,720575940623352063,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),90.0,70.0
nature_2026_05,1,1,0.1,720575940623453959,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940623478115,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,10.0
nature_2026_05,1,1,0.1,720575940623847181,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,0.0
nature_2026_05,1,1,0.1,720575940624023188,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,20.0
nature_2026_05,1,1,0.1,720575940624310857,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940624484796,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,40.0
nature_2026_05,1,1,0.1,720575940624623287,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940624897516,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940624906483,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,30.0
nature_2026_05,1,1,0.1,720575940624963786,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),310.0,210.0
nature_2026_05,1,1,0.1,720575940624966840,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,30.0
nature_2026_05,1,1,0.1,720575940625045180,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),80.0,60.0
nature_2026_05,1,1,0.1,720575940625047484,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,50.0
nature_2026_05,1,1,0.1,720575940625102692,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),60.0,60.0
nature_2026_05,1,1,0.1,720575940625164558,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940625175054,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),70.0,70.0
nature_2026_05,1,1,0.1,720575940625178768,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,30.0
nature_2026_05,1,1,0.1,720575940625580988,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,40.0
nature_2026_05,1,1,0.1,720575940625705930,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),70.0,60.0
nature_2026_05,1,1,0.1,720575940625737776,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,30.0
nature_2026_05,1,1,0.1,720575940625861660,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,40.0
nature_2026_05,1,1,0.1,720575940625867056,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),70.0,60.0
nature_2026_05,1,1,0.1,720575940625874992,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),70.0,70.0
nature_2026_05,1,1,0.1,720575940625875504,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,50.0
nature_2026_05,1,1,0.1,720575940626191306,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),110.0,110.0
nature_2026_05,1,1,0.1,720575940626278974,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),20.0,20.0
nature_2026_05,1,1,0.1,720575940626279742,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),50.0,40.0
nature_2026_05,1,1,0.1,720575940626289021,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),10.0,10.0
nature_2026_05,1,1,0.1,720575940626308697,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),30.0,30.0
nature_2026_05,1,1,0.1,720575940626495746,brian2cpp,genn,Brian2 (CPU),GeNN (GPU),40.0,40.0
