run_label,round,reference_backend,reference_framework,comparison_backend,comparison_framework,t_run,n_run,flywire_id,reference_rate_hz,comparison_rate_hz
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940627383685,140.0,140.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940627410451,40.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940627779983,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940627812168,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940627828296,10.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940627847752,50.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940628070419,0.0,10.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940628114684,80.0,80.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940628446010,20.0,30.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940628598121,70.0,70.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940628648809,50.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940628676457,20.0,20.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940628743752,50.0,50.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940628755815,40.0,60.0
nature_2026_05,1,brian2cpp,Brian2 (CPU),brian2genn,Brian2GeNN (GPU),0.1,1,720575940628802069,10.0,10.0
